Gender,Nationality,Refugee Status,Disability status,Youth (18-35),Program Name,Sponsorship Type,Graduation Date,Cohort,Education Level,Placement Status,Graduation Year,Graduation Month
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),Self Sponsored,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),Self Sponsored,2025-06-26,Feb 2025,Diploma,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Design (UX/UI),10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Product Management,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Diploma,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Diploma,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Product Management,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Product Management,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Open to work,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Product Management,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Congolese,Yes,No,Yes,Product Management,Self Sponsored,2025-06-26,Feb 2025,Master's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Product Management,10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,IGCSE,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Open to work,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,UACE,Open to work,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Diploma,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Master's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,UACE,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Master's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Post Graduate Diploma,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Open to work,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,Yes,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Master's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Diploma,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Male,Ugandan,No,No,Yes,Data Science & ML,Self Sponsored,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,Data Science & ML,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,UACE,Open to work,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,Certificate,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,UACE,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,UCE,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
Female,Ugandan,No,No,Yes,CSE JAVASCRIPT,10X Scholarship,2025-06-26,Feb 2025,Bachelor's Degree,Employed,2025,6
